c_name,round,train_loss,train_acc,grad_norms
f_00017,0,2.5555524826049805,0.0,"{'layers.0.weight': tensor(91.8342), 'layers.0.bias': tensor(0.9904)}"
f_00086,0,2.9550373554229736,0.0,"{'layers.0.weight': tensor(69.2931), 'layers.0.bias': tensor(1.0089)}"
f_00027,0,2.548288583755493,0.0,"{'layers.0.weight': tensor(55.8606), 'layers.0.bias': tensor(0.9779)}"
f_00046,0,1.959429383277893,0.17142857142857143,"{'layers.0.weight': tensor(53.0615), 'layers.0.bias': tensor(0.6449)}"
f_00000,0,2.8108127117156982,0.014084507042253521,"{'layers.0.weight': tensor(55.7604), 'layers.0.bias': tensor(0.7386)}"
f_00044,0,4.009096622467041,0.0,"{'layers.0.weight': tensor(117.2910), 'layers.0.bias': tensor(0.9002)}"
f_00048,0,2.9536774158477783,0.0,"{'layers.0.weight': tensor(69.1424), 'layers.0.bias': tensor(0.5597)}"
f_00082,0,2.140284299850464,0.0189873417721519,"{'layers.0.weight': tensor(44.9081), 'layers.0.bias': tensor(0.8383)}"
f_00018,0,2.487766981124878,0.0,"{'layers.0.weight': tensor(45.8610), 'layers.0.bias': tensor(0.9750)}"
f_00043,0,2.8253602981567383,0.0,"{'layers.0.weight': tensor(39.2499), 'layers.0.bias': tensor(0.4697)}"
f_00025,0,2.267904281616211,0.0,"{'layers.0.weight': tensor(54.0662), 'layers.0.bias': tensor(0.5510)}"
f_00091,0,2.276677131652832,0.0,"{'layers.0.weight': tensor(26.0696), 'layers.0.bias': tensor(0.2730)}"
f_00076,0,2.3095829486846924,0.0,"{'layers.0.weight': tensor(75.1371), 'layers.0.bias': tensor(0.9857)}"
f_00096,0,2.0632455348968506,0.0,"{'layers.0.weight': tensor(53.1250), 'layers.0.bias': tensor(0.8585)}"
f_00016,0,2.4326446056365967,0.007751937984496124,"{'layers.0.weight': tensor(36.9760), 'layers.0.bias': tensor(0.4362)}"
f_00007,0,2.4956958293914795,0.0,"{'layers.0.weight': tensor(332.1313), 'layers.0.bias': tensor(1.0779)}"
f_00012,0,2.716404438018799,0.0,"{'layers.0.weight': tensor(189.0801), 'layers.0.bias': tensor(1.0467)}"
f_00013,0,1.8783667087554932,0.16981132075471697,"{'layers.0.weight': tensor(48.9024), 'layers.0.bias': tensor(0.7558)}"
