c_name,round,train_loss,train_acc,grad_norms
f_00046,0,0.4332446753978729,0.8952380952380953,None
f_00005,0,5.116213742439868e-06,1.0,None
f_00068,0,0.004433628637343645,1.0,None
f_00043,0,1.3970540761947632,0.4608695652173913,None
f_00026,0,2.4441065788269043,0.2631578947368421,None
f_00058,0,0.8101147413253784,0.7564766839378239,None
f_00061,0,0.0031428479123860598,1.0,None
f_00014,0,0.040165457874536514,0.9902912621359223,None
f_00047,0,0.7485406398773193,0.6605504587155964,None
f_00037,0,0.005265550687909126,1.0,None
f_00094,0,0.004385162144899368,1.0,None
f_00015,0,1.9252663850784302,0.6637168141592921,None
f_00077,0,0.3571576774120331,0.8872549019607843,None
f_00030,0,0.2640115022659302,0.9555555555555556,None
f_00028,0,0.30737435817718506,0.8888888888888888,None
f_00096,0,0.010490380227565765,1.0,None
f_00051,0,0.192245215177536,0.9494949494949495,None
f_00067,0,0.9904500246047974,0.7111111111111111,None
f_00023,0,4.840638666792074e-06,1.0,None
f_00044,0,1.4233285188674927,0.35294117647058826,None
f_00003,0,0.006208079867064953,1.0,None
f_00087,0,0.002056205878034234,1.0,None
f_00036,0,0.0022663103882223368,1.0,None
f_00091,0,1.1882429122924805,0.5272727272727272,None
f_00040,0,0.0005040178657509387,1.0,None
f_00073,0,0.0064924038015306,1.0,None
f_00081,0,2.5276994705200195,0.1864406779661017,None
f_00059,0,0.007167463656514883,1.0,None
f_00050,0,0.7540193796157837,0.8023255813953488,None
f_00083,0,0.2128736674785614,0.9607843137254902,None
f_00034,1,0.6674476265907288,0.8977272727272727,None
f_00054,1,0.3870429992675781,0.9013157894736842,None
f_00044,1,0.6289478540420532,0.6643598615916955,None
f_00056,1,0.0028376744594424963,1.0,None
f_00023,1,0.00048519339179620147,1.0,None
f_00003,1,0.0034126900136470795,1.0,None
f_00088,1,0.01574850268661976,1.0,None
f_00072,1,0.30865833163261414,0.9555555555555556,None
f_00089,1,1.5405373573303223,0.8677685950413223,None
f_00061,1,0.0021999008022248745,1.0,None
f_00067,1,0.8610504269599915,0.7555555555555555,None
f_00081,1,1.4792094230651855,0.423728813559322,None
f_00036,1,0.0023273176047950983,1.0,None
f_00070,1,0.0018906248733401299,1.0,None
f_00028,1,0.25610578060150146,0.9305555555555556,None
f_00007,1,9.781336120795459e-05,1.0,None
f_00064,1,0.8209121227264404,0.7222222222222222,None
f_00009,1,0.7199862599372864,0.5405405405405406,None
f_00039,1,0.14314371347427368,0.9722222222222222,None
f_00055,1,0.8137626051902771,0.5806451612903226,None
f_00083,1,0.18444590270519257,0.9607843137254902,None
f_00022,1,0.00578906387090683,1.0,None
f_00090,1,0.009758800268173218,1.0,None
f_00035,1,1.8051204681396484,0.8484848484848485,None
f_00012,1,0.0021373536437749863,1.0,None
f_00033,1,0.004783979617059231,1.0,None
f_00030,1,0.2959938049316406,0.9111111111111111,None
f_00025,1,0.9086569547653198,0.7553956834532374,None
f_00071,1,0.9311568140983582,0.8703703703703703,None
f_00086,1,0.08625762164592743,0.991869918699187,None
f_00039,2,0.12388859689235687,0.9722222222222222,None
f_00020,2,1.4471855163574219,0.4489795918367347,None
f_00097,2,0.9666269421577454,0.6590909090909091,None
f_00099,2,1.2437671422958374,0.7627118644067796,None
f_00040,2,0.00044874203740619123,1.0,None
f_00050,2,0.6481315493583679,0.8023255813953488,None
f_00009,2,0.6739428639411926,0.6576576576576577,None
f_00032,2,0.008065365254878998,1.0,None
f_00065,2,0.08671683073043823,0.9827586206896551,None
f_00060,2,0.006017202511429787,1.0,None
f_00004,2,1.3560011386871338,0.5272727272727272,None
f_00061,2,0.0035931782331317663,1.0,None
f_00019,2,1.8281307220458984,0.5138888888888888,None
f_00077,2,0.2894189655780792,0.8872549019607843,None
f_00013,2,0.29274076223373413,0.9716981132075472,None
f_00018,2,0.003748146817088127,1.0,None
f_00094,2,0.0015647697728127241,1.0,None
f_00048,2,0.8881934881210327,0.6,None
f_00016,2,1.0820690393447876,0.5581395348837209,None
f_00063,2,6.785743380532949e-07,1.0,None
f_00069,2,0.26802828907966614,0.9206349206349206,None
f_00075,2,0.007014378439635038,1.0,None
f_00011,2,0.6489233374595642,0.7678571428571429,None
f_00015,2,2.031874895095825,0.6637168141592921,None
f_00082,2,0.1511555016040802,0.9810126582278481,None
f_00047,2,0.7846519351005554,0.6972477064220184,None
f_00017,2,0.004095780197530985,1.0,None
f_00055,2,0.714259684085846,0.7290322580645161,None
f_00045,2,0.004637031350284815,1.0,None
f_00028,2,0.2633204460144043,0.9027777777777778,None
f_00002,3,0.0014126853784546256,1.0,None
f_00022,3,0.0011820566141977906,1.0,None
f_00054,3,0.3502511978149414,0.9144736842105263,None
f_00093,3,2.6082491874694824,0.7666666666666667,None
f_00066,3,0.7231728434562683,0.9180327868852459,None
f_00024,3,1.4263901710510254,0.48951048951048953,None
f_00029,3,2.2600111961364746,0.7764705882352941,None
f_00000,3,0.9451727271080017,0.8169014084507042,None
f_00034,3,0.805170476436615,0.8977272727272727,None
f_00072,3,0.15245099365711212,0.9555555555555556,None
f_00056,3,0.0031209453009068966,1.0,None
f_00062,3,0.9187279939651489,0.7777777777777778,None
f_00079,3,0.0036418233066797256,1.0,None
f_00050,3,0.6645333170890808,0.8023255813953488,None
f_00057,3,0.6867401003837585,0.7727272727272727,None
f_00045,3,0.0044411239214241505,1.0,None
f_00043,3,0.9548501968383789,0.6869565217391305,None
f_00078,3,1.2166342735290527,0.47,None
f_00018,3,0.0033332586754113436,1.0,None
f_00037,3,0.003564625745639205,1.0,None
f_00087,3,0.0017764730146154761,1.0,None
f_00042,3,1.4030152559280396,0.5206611570247934,None
f_00092,3,0.0031409047078341246,1.0,None
f_00001,3,0.0007100710645318031,1.0,None
f_00088,3,0.009298382326960564,1.0,None
f_00008,3,0.00200876803137362,1.0,None
f_00011,3,0.6270722150802612,0.75,None
f_00060,3,0.004311358090490103,1.0,None
f_00070,3,1.3626105101138819e-05,1.0,None
f_00094,3,0.00090736523270607,1.0,None
f_00024,4,1.3764852285385132,0.4755244755244755,None
f_00084,4,1.2281206846237183,0.7,None
f_00053,4,1.8497774600982666,0.890625,None
f_00099,4,1.4822187423706055,0.751412429378531,None
f_00038,4,0.8575025200843811,0.6517857142857143,None
f_00044,4,1.015744924545288,0.5190311418685121,None
f_00020,4,1.3597650527954102,0.46258503401360546,None
f_00051,4,0.1872997283935547,0.9494949494949495,None
f_00035,4,3.256993532180786,0.8484848484848485,None
f_00012,4,0.0021196051966398954,1.0,None
f_00050,4,0.7008862495422363,0.8023255813953488,None
f_00086,4,0.09427478909492493,0.991869918699187,None
f_00041,4,0.035512425005435944,0.9961685823754789,None
f_00010,4,0.09938167035579681,0.9783950617283951,None
f_00042,4,1.4358371496200562,0.5454545454545454,None
f_00073,4,0.006583414506167173,1.0,None
f_00066,4,0.5240451097488403,0.9016393442622951,None
f_00072,4,0.1123570054769516,0.9555555555555556,None
f_00071,4,0.891778290271759,0.8703703703703703,None
f_00056,4,0.003280758624896407,1.0,None
f_00046,4,0.6093987822532654,0.8952380952380953,None
f_00022,4,7.481793318220298e-07,1.0,None
f_00064,4,0.955717146396637,0.6666666666666666,None
f_00079,4,0.0026442697271704674,1.0,None
f_00029,4,1.7216180562973022,0.7764705882352941,None
f_00026,4,2.271345376968384,0.3157894736842105,None
f_00011,4,0.6537574529647827,0.8035714285714286,None
f_00030,4,0.28637176752090454,0.9407407407407408,None
f_00089,4,0.7252189517021179,0.8677685950413223,None
f_00017,4,0.0038572782650589943,1.0,None
f_00045,5,0.004017605911940336,1.0,None
f_00055,5,0.8179571628570557,0.7225806451612903,None
f_00099,5,1.186234951019287,0.7570621468926554,None
f_00039,5,0.13109321892261505,0.9722222222222222,None
f_00035,5,1.1161956787109375,0.8484848484848485,None
f_00040,5,0.00012269438593648374,1.0,None
f_00007,5,0.00032291392562910914,1.0,None
f_00009,5,0.8616130352020264,0.6666666666666666,None
f_00080,5,0.01200641319155693,1.0,None
f_00066,5,0.40664151310920715,0.9016393442622951,None
f_00018,5,0.00018929035286419094,1.0,None
f_00088,5,0.009385749697685242,1.0,None
f_00060,5,0.004925618413835764,1.0,None
f_00079,5,1.0482605148354196e-06,1.0,None
f_00091,5,1.5469412803649902,0.4909090909090909,None
f_00016,5,0.9791467189788818,0.6046511627906976,None
f_00046,5,0.4982213079929352,0.8952380952380953,None
f_00063,5,3.667644023153116e-06,1.0,None
f_00048,5,1.207531213760376,0.5076923076923077,None
f_00011,5,0.5859267115592957,0.8214285714285714,None
f_00082,5,0.21914131939411163,0.9810126582278481,None
f_00059,5,0.001015902729704976,1.0,None
f_00081,5,1.3709254264831543,0.5254237288135594,None
f_00033,5,0.003966249991208315,1.0,None
f_00032,5,0.0065141827799379826,1.0,None
f_00093,5,1.2066740989685059,0.7666666666666667,None
f_00067,5,1.112104058265686,0.7,None
f_00022,5,1.4747835166417644e-06,1.0,None
f_00076,5,0.004992470145225525,1.0,None
f_00094,5,3.794394069700502e-05,1.0,None
f_00067,6,0.9756125807762146,0.7111111111111111,None
f_00068,6,0.0,1.0,None
f_00096,6,0.0,1.0,None
f_00006,6,0.020745335146784782,1.0,None
f_00039,6,0.14187003672122955,0.9722222222222222,None
f_00003,6,0.002815839136019349,1.0,None
f_00082,6,0.24354544281959534,0.9810126582278481,None
